precision,trials,reportsPassed,weightedScoreMean,weightedScoreSD,casePassRate,modelCasePassRate,deterministicCasePassRate,criticalFailureCount,modelSetupSecondsMean,modelSetupSecondsSD,evaluationSecondsMean,evaluationSecondsSD,peakResidentMemoryBytesMax,modelDiskBytes
4-bit,3,3,1.0,0.0,1.0,1.0,1.0,0,1.01,0.03,214.66,17.67,3665707008,3108063806
8-bit,3,3,1.0,0.0,1.0,1.0,1.0,0,1.09,0.2,184.35,20.0,5674647552,5119200094
